"","districtnum","districtname","population","affil","familyname","firstname","middlename","provcode","province","gender"
"1",10001,"Avalon",81540,"No Affiliation","Andrews","Scott",NA,"10","Newfoundland and Labrador","Male"
"2",10001,"Avalon",81540,"New Democratic Party","Baldwin","Jeannie",NA,"10","Newfoundland and Labrador","Female"
"3",10001,"Avalon",81540,"Conservative Party of Canada","Barnett","Lorraine","E.","10","Newfoundland and Labrador","Female"
"4",10001,"Avalon",81540,"Green Party of Canada","Byrne-Puumala","Krista",NA,"10","Newfoundland and Labrador","Female"
"5",10001,"Avalon",81540,"Forces et Démocratie","McCreath","Jennifer",NA,"10","Newfoundland and Labrador","Female"
"6",10001,"Avalon",81540,"Liberal Party of Canada","McDonald","Ken",NA,"10","Newfoundland and Labrador","Male"
"7",10002,"Bonavista--Burin--Trinity",76704,"New Democratic Party","Brown","Jenn",NA,"10","Newfoundland and Labrador","Female"
"8",10002,"Bonavista--Burin--Trinity",76704,"Green Party of Canada","Colbourne","Tyler","John","10","Newfoundland and Labrador","Male"
"9",10002,"Bonavista--Burin--Trinity",76704,"Liberal Party of Canada","Foote","Judy","M.","10","Newfoundland and Labrador","Female"
"10",10002,"Bonavista--Burin--Trinity",76704,"Conservative Party of Canada","Windsor","Mike",NA,"10","Newfoundland and Labrador","Male"
"11",10003,"Coast of Bays--Central--Notre Dame",78092,"New Democratic Party","Menchenton","Claudette",NA,"10","Newfoundland and Labrador","Female"
"12",10003,"Coast of Bays--Central--Notre Dame",78092,"Conservative Party of Canada","O'Brien","Kevin","George","10","Newfoundland and Labrador","Male"
"13",10003,"Coast of Bays--Central--Notre Dame",78092,"Green Party of Canada","Perry","Elizabeth",NA,"10","Newfoundland and Labrador","Female"
"14",10003,"Coast of Bays--Central--Notre Dame",78092,"Liberal Party of Canada","Simms","Scott",NA,"10","Newfoundland and Labrador","Male"
"15",10004,"Labrador",26728,"Liberal Party of Canada","Jones","Yvonne",NA,"10","Newfoundland and Labrador","Female"
"16",10004,"Labrador",26728,"Conservative Party of Canada","Penashue","Peter",NA,"10","Newfoundland and Labrador","Male"
"17",10004,"Labrador",26728,"New Democratic Party","Rudkowski","Edward",NA,"10","Newfoundland and Labrador","Male"
"18",10005,"Long Range Mountains",87592,"New Democratic Party","Babstock","Devon",NA,"10","Newfoundland and Labrador","Male"
"19",10005,"Long Range Mountains",87592,"Green Party of Canada","Cormier","Terry",NA,"10","Newfoundland and Labrador","Male"
"20",10005,"Long Range Mountains",87592,"Liberal Party of Canada","Hutchings","Gudie",NA,"10","Newfoundland and Labrador","Female"
"21",10005,"Long Range Mountains",87592,"Conservative Party of Canada","Ruth","Wayne",NA,"10","Newfoundland and Labrador","Male"
"22",10006,"St. John's East",81936,"Communist Party of Canada","Burton","Sean",NA,"10","Newfoundland and Labrador","Male"
"23",10006,"St. John's East",81936,"New Democratic Party","Harris","Jack",NA,"10","Newfoundland and Labrador","Male"
"24",10006,"St. John's East",81936,"Green Party of Canada","Peters","David","Anthony","10","Newfoundland and Labrador","Male"
"25",10006,"St. John's East",81936,"Conservative Party of Canada","Stapleton","Deanne",NA,"10","Newfoundland and Labrador","Female"
"26",10006,"St. John's East",81936,"Liberal Party of Canada","Whalen","Nick",NA,"10","Newfoundland and Labrador","Male"
"27",10007,"St. John's South--Mount Pearl",81944,"New Democratic Party","Cleary","Ryan",NA,"10","Newfoundland and Labrador","Male"
"28",10007,"St. John's South--Mount Pearl",81944,"Conservative Party of Canada","Krol","Marek",NA,"10","Newfoundland and Labrador","Male"
"29",10007,"St. John's South--Mount Pearl",81944,"Green Party of Canada","McLean","Jackson",NA,"10","Newfoundland and Labrador","Male"
"30",10007,"St. John's South--Mount Pearl",81944,"Liberal Party of Canada","O'Regan","Seamus",NA,"10","Newfoundland and Labrador","Male"
"31",11001,"Cardigan",36005,"New Democratic Party","Cann","Billy",NA,"11","Prince Edward Island","Male"
"32",11001,"Cardigan",36005,"Green Party of Canada","Doyle","Teresa",NA,"11","Prince Edward Island","Female"
"33",11001,"Cardigan",36005,"Liberal Party of Canada","MacAulay","Lawrence",NA,"11","Prince Edward Island","Male"
"34",11001,"Cardigan",36005,"Conservative Party of Canada","Patkai","Julius",NA,"11","Prince Edward Island","Male"
"35",11001,"Cardigan",36005,"Christian Heritage Party of Canada","Squires","Christene",NA,"11","Prince Edward Island","Female"
"36",11002,"Charlottetown",34562,"New Democratic Party","Byrne","Joe",NA,"11","Prince Edward Island","Male"
"37",11002,"Charlottetown",34562,"Liberal Party of Canada","Casey","Sean",NA,"11","Prince Edward Island","Male"
"38",11002,"Charlottetown",34562,"Conservative Party of Canada","MacMillan","Ron",NA,"11","Prince Edward Island","Male"
"39",11002,"Charlottetown",34562,"Green Party of Canada","Viau","Becka",NA,"11","Prince Edward Island","Female"
"40",11003,"Egmont",34598,"New Democratic Party","Dickieson","Herb",NA,"11","Prince Edward Island","Male"
