Electoral District Number / No de circonscription,Electoral District Name,Nom de la circonscription,Political Affiliation,Appartenance politique,Candidate's Family Name / Nom de famille du candidat,Candidate's First Name / Prénom du candidat, Candidate's Initial(s) / Initiale(s) du candidat, Candidate's Campaign Office Telephone Number / Numéro de téléphone du bureau de campagne du candidat,Date of Receipt of Notification of Confirmation / Date de réception de l'avis de confirmation,Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
10001,Avalon,Avalon,No Affiliation,Aucune appartenance,Andrews,Scott,,(709) 631-2355,12-Aug-15,11:40:00
10001,Avalon,Avalon,New Democratic Party,Nouveau Parti démocratique,Baldwin,Jeannie,,(709) 834-8444,4-Sep-15,2:40:00
10001,Avalon,Avalon,Conservative Party of Canada,Parti conservateur du Canada,Barnett,Lorraine E.,,(709) 781-4833,17-Sep-15,11:58:00
10001,Avalon,Avalon,Green Party of Canada,Le Parti Vert du Canada,Byrne-Puumala,Krista,,(709) 781-1575,26-Sep-15,8:55:00
10001,Avalon,Avalon,Forces et Démocratie,Forces et Démocratie,McCreath,Jennifer,,(709) 753-9529,28-Sep-15,7:35:00
10001,Avalon,Avalon,Liberal Party of Canada,Parti libéral du Canada,McDonald,Ken,,,21-Aug-15,1:15:00
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,New Democratic Party,Nouveau Parti démocratique,Brown,Jenn,,,16-Sep-15,8:11:00
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Green Party of Canada,Le Parti Vert du Canada,Colbourne,Tyler John,,(902) 488-1001,26-Sep-15,10:02:00
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Liberal Party of Canada,Parti libéral du Canada,Foote,Judy M.,,(709) 832-0993,20-Aug-15,2:09:00
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Conservative Party of Canada,Parti conservateur du Canada,Windsor,Mike,,(709) 771-8255,24-Sep-15,7:15:00
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,New Democratic Party,Nouveau Parti démocratique,Menchenton,Claudette,,,31-Aug-15,1:45:00
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Conservative Party of Canada,Parti conservateur du Canada,O'Brien,Kevin George,,(709) 651-1150,14-Aug-15,3:30:00
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Green Party of Canada,Le Parti Vert du Canada,Perry,Elizabeth,,,22-Sep-15,11:00:00
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Liberal Party of Canada,Parti libéral du Canada,Simms,Scott,,(709) 651-1131,29-Aug-15,10:30:00
